user_id,image_id,image_label,selected_option,satisfaction,confidence,understanding,mean_helpfulness,case_local_id
U008,9,img_09,Opción F (Ninguna),1,1,1,1.0,9
U008,10,img_10,Opción E,4,3,3,3.3333333333333335,10
U008,11,img_11,Opción B,2,1,2,1.6666666666666667,11
U009,1,img_01,Opción B,3,2,3,2.6666666666666665,1
U009,2,img_02,Opción A,3,3,3,3.0,2
U009,3,img_03,Opción B,3,3,3,3.0,3
U009,4,img_04,Opción E,3,3,3,3.0,4
U009,5,img_05,Opción C,3,3,3,3.0,5
U009,6,img_06,Opción A,3,3,3,3.0,6
U009,7,img_07,Opción D,3,3,3,3.0,7
U009,8,img_08,Opción E,3,3,3,3.0,8
U009,9,img_09,Opción B,3,3,3,3.0,9
U009,10,img_10,Opción E,3,3,3,3.0,10
U009,11,img_11,Opción B,3,3,3,3.0,11
U010,1,img_01,Opción A,4,4,4,4.0,1
U010,2,img_02,Opción C,4,4,4,4.0,2
U010,3,img_03,Opción E,4,4,4,4.0,3
U010,4,img_04,Opción C,4,5,4,4.333333333333333,4
U010,5,img_05,Opción F (Ninguna),2,2,2,2.0,5
U010,6,img_06,Opción C,4,4,4,4.0,6
U010,7,img_07,Opción C,4,4,4,4.0,7
U010,8,img_08,Opción C,4,5,4,4.333333333333333,8
U010,9,img_09,Opción E,3,3,3,3.0,9
U010,10,img_10,Opción E,4,4,4,4.0,10
U010,11,img_11,Opción E,4,4,4,4.0,11
U011,1,img_01,Opción B,4,4,3,3.6666666666666665,1
U011,2,img_02,Opción F (Ninguna),3,3,3,3.0,2
U011,3,img_03,Opción E,4,4,4,4.0,3
U011,4,img_04,Opción B,4,5,4,4.333333333333333,4
U011,5,img_05,Opción F (Ninguna),1,1,1,1.0,5
U011,6,img_06,Opción A,3,4,4,3.6666666666666665,6
U011,7,img_07,Opción F (Ninguna),1,1,1,1.0,7
U011,8,img_08,Opción B,4,4,4,4.0,8
U011,9,img_09,Opción F (Ninguna),1,1,1,1.0,9
U011,10,img_10,Opción B,4,4,4,4.0,10
U011,11,img_11,Opción B,4,4,4,4.0,11
U012,1,img_01,Opción B,2,3,3,2.6666666666666665,1
U012,2,img_02,Opción B,2,3,3,2.6666666666666665,2
U012,3,img_03,Opción A,2,2,2,2.0,3
U012,4,img_04,Opción A,4,3,3,3.3333333333333335,4
U012,5,img_05,Opción D,2,3,3,2.6666666666666665,5
U012,6,img_06,Opción A,2,3,3,2.6666666666666665,6
U012,7,img_07,Opción D,2,3,3,2.6666666666666665,7
U012,8,img_08,Opción B,2,3,3,2.6666666666666665,8
U012,9,img_09,Opción B,3,3,3,3.0,9
U012,10,img_10,Opción E,3,3,3,3.0,10
U012,11,img_11,Opción B,4,3,3,3.3333333333333335,11
U013,1,img_01,Opción E,2,4,4,3.3333333333333335,1
U013,2,img_02,Opción C,2,4,4,3.3333333333333335,2
U013,3,img_03,Opción E,2,4,4,3.3333333333333335,3
U013,4,img_04,Opción A,2,4,4,3.3333333333333335,4
U013,5,img_05,Opción F (Ninguna),1,1,1,1.0,5
U013,6,img_06,Opción D,3,3,3,3.0,6
U013,7,img_07,Opción F (Ninguna),1,1,1,1.0,7
U013,8,img_08,Opción F (Ninguna),1,1,1,1.0,8
U013,9,img_09,Opción F (Ninguna),1,1,1,1.0,9
U013,10,img_10,Opción F (Ninguna),1,1,1,1.0,10
U013,11,img_11,Opción B,3,3,2,2.6666666666666665,11
U014,1,img_01,Opción A,4,4,4,4.0,1
U014,2,img_02,Opción B,3,3,4,3.3333333333333335,2
U014,3,img_03,Opción A,4,4,5,4.333333333333333,3
U014,4,img_04,Opción A,5,5,5,5.0,4
U014,5,img_05,Opción C,3,2,4,3.0,5
U014,6,img_06,Opción A,4,4,4,4.0,6
U014,7,img_07,Opción C,4,5,5,4.666666666666667,7
U014,8,img_08,Opción C,4,5,5,4.666666666666667,8
U014,9,img_09,Opción B,3,3,4,3.3333333333333335,9
U014,10,img_10,Opción A,5,4,5,4.666666666666667,10
U014,11,img_11,Opción B,3,3,3,3.0,11
U015,1,img_01,Opción B,4,4,5,4.333333333333333,1
U015,2,img_02,Opción C,4,3,4,3.6666666666666665,2
U015,3,img_03,Opción A,4,4,5,4.333333333333333,3
U015,4,img_04,Opción E,3,2,3,2.6666666666666665,4
U015,5,img_05,Opción F (Ninguna),1,2,2,1.6666666666666667,5
U015,6,img_06,Opción A,4,4,4,4.0,6
U015,7,img_07,Opción C,4,5,4,4.333333333333333,7
U015,8,img_08,Opción C,4,4,5,4.333333333333333,8
U015,9,img_09,Opción C,3,2,2,2.3333333333333335,9
U015,10,img_10,Opción B,3,3,4,3.3333333333333335,10
U015,11,img_11,Opción B,4,4,5,4.333333333333333,11
U016,1,img_01,Opción A,2,2,2,2.0,1
U016,2,img_02,Opción E,2,2,2,2.0,2
U016,3,img_03,Opción A,2,2,2,2.0,3
U016,4,img_04,Opción A,2,2,2,2.0,4
U016,5,img_05,Opción D,1,1,1,1.0,5
U016,6,img_06,Opción D,2,2,2,2.0,6
U016,7,img_07,Opción C,2,2,2,2.0,7
U016,8,img_08,Opción D,1,1,2,1.3333333333333333,8
U016,9,img_09,Opción E,1,1,2,1.3333333333333333,9
U016,10,img_10,Opción E,3,3,3,3.0,10
U016,11,img_11,Opción B,2,2,2,2.0,11
U017,1,img_01,Opción B,2,2,2,2.0,1
U017,2,img_02,Opción A,3,3,3,3.0,2
U017,3,img_03,Opción B,2,2,2,2.0,3
U017,4,img_04,Opción D,3,3,2,2.6666666666666665,4
U017,5,img_05,Opción A,3,3,3,3.0,5
U017,6,img_06,Opción B,2,2,2,2.0,6
U017,7,img_07,Opción C,3,3,3,3.0,7
U017,8,img_08,Opción B,3,3,3,3.0,8
U017,9,img_09,Opción E,4,4,4,4.0,9
U017,10,img_10,Opción C,3,3,3,3.0,10
U017,11,img_11,Opción B,3,2,3,2.6666666666666665,11
U018,1,img_01,Opción A,2,2,2,2.0,1
U018,2,img_02,Opción D,2,2,2,2.0,2
U018,3,img_03,Opción A,2,2,2,2.0,3
U018,4,img_04,Opción E,3,3,3,3.0,4
U018,5,img_05,Opción D,3,4,4,3.6666666666666665,5
U018,6,img_06,Opción C,3,3,3,3.0,6
U018,7,img_07,Opción C,4,3,3,3.3333333333333335,7
U018,8,img_08,Opción E,3,4,3,3.3333333333333335,8
U018,9,img_09,Opción E,3,2,3,2.6666666666666665,9
U018,10,img_10,Opción A,3,2,2,2.3333333333333335,10
U018,11,img_11,Opción E,1,1,1,1.0,11
U019,1,img_01,Opción B,4,4,5,4.333333333333333,1
U019,2,img_02,Opción B,4,4,4,4.0,2
U019,3,img_03,Opción E,3,4,5,4.0,3
U019,4,img_04,Opción C,4,4,4,4.0,4
U019,5,img_05,Opción A,2,3,3,2.6666666666666665,5
U019,6,img_06,Opción A,5,5,5,5.0,6
U019,7,img_07,Opción D,4,5,5,4.666666666666667,7
U019,8,img_08,Opción A,4,5,5,4.666666666666667,8
U019,9,img_09,Opción B,4,4,5,4.333333333333333,9
U019,10,img_10,Opción E,4,4,5,4.333333333333333,10
U019,11,img_11,Opción B,4,5,5,4.666666666666667,11
U020,1,img_01,Opción A,4,5,5,4.666666666666667,1
U020,2,img_02,Opción A,4,5,5,4.666666666666667,2
U020,3,img_03,Opción E,3,3,3,3.0,3
U020,4,img_04,Opción A,3,4,3,3.3333333333333335,4
U020,5,img_05,Opción F (Ninguna),1,1,1,1.0,5
U020,6,img_06,Opción A,4,5,4,4.333333333333333,6
U020,7,img_07,Opción A,4,5,4,4.333333333333333,7
U020,8,img_08,Opción F (Ninguna),1,1,1,1.0,8
U020,9,img_09,Opción E,3,4,3,3.3333333333333335,9
U020,10,img_10,Opción E,3,4,3,3.3333333333333335,10
U020,11,img_11,Opción E,3,4,3,3.3333333333333335,11
U021,1,img_01,Opción B,4,4,4,4.0,1
U021,2,img_02,Opción B,4,4,4,4.0,2
U021,3,img_03,Opción A,3,4,3,3.3333333333333335,3
U021,4,img_04,Opción E,4,4,4,4.0,4
U021,5,img_05,Opción F (Ninguna),1,1,1,1.0,5
U021,6,img_06,Opción A,4,4,4,4.0,6
U021,7,img_07,Opción B,3,4,3,3.3333333333333335,7
U021,8,img_08,Opción B,4,4,4,4.0,8
U021,9,img_09,Opción E,4,4,4,4.0,9
U021,10,img_10,Opción B,4,4,4,4.0,10
U021,11,img_11,Opción B,4,4,4,4.0,11
U022,1,img_01,Opción B,4,4,4,4.0,1
U022,2,img_02,Opción B,5,5,5,5.0,2
U022,3,img_03,Opción A,4,5,5,4.666666666666667,3
U022,4,img_04,Opción C,5,5,5,5.0,4
U022,5,img_05,Opción A,3,4,4,3.6666666666666665,5
U022,6,img_06,Opción A,4,5,5,4.666666666666667,6
U022,7,img_07,Opción E,4,4,4,4.0,7
U022,8,img_08,Opción C,4,4,4,4.0,8
U022,9,img_09,Opción F (Ninguna),2,2,3,2.3333333333333335,9
U022,10,img_10,Opción E,4,4,5,4.333333333333333,10
U022,11,img_11,Opción B,3,3,3,3.0,11
U023,1,img_01,Opción C,5,5,5,5.0,1
U023,2,img_02,Opción E,2,3,1,2.0,2
U023,3,img_03,Opción A,5,4,5,4.666666666666667,3
U023,4,img_04,Opción B,4,5,5,4.666666666666667,4
U023,5,img_05,Opción F (Ninguna),1,1,4,2.0,5
U023,6,img_06,Opción D,2,2,4,2.6666666666666665,6
U023,7,img_07,Opción B,5,3,5,4.333333333333333,7
U023,8,img_08,Opción F (Ninguna),1,1,5,2.3333333333333335,8
U023,9,img_09,Opción F (Ninguna),1,1,5,2.3333333333333335,9
U023,10,img_10,Opción E,3,5,2,3.3333333333333335,10
U023,11,img_11,Opción A,5,5,5,5.0,11
U024,1,img_01,Opción B,2,4,4,3.3333333333333335,1
U024,2,img_02,Opción F (Ninguna),1,1,2,1.3333333333333333,2
U024,3,img_03,Opción E,3,2,4,3.0,3
U024,4,img_04,Opción C,3,3,4,3.3333333333333335,4
U024,5,img_05,Opción F (Ninguna),1,1,1,1.0,5
U024,6,img_06,Opción A,2,2,3,2.3333333333333335,6
U024,7,img_07,Opción F (Ninguna),1,1,1,1.0,7
U024,8,img_08,Opción F (Ninguna),1,1,1,1.0,8
U024,9,img_09,Opción F (Ninguna),1,1,1,1.0,9
U024,10,img_10,Opción E,3,3,4,3.3333333333333335,10
U024,11,img_11,Opción F (Ninguna),1,1,2,1.3333333333333333,11
U025,1,img_01,Opción B,3,3,3,3.0,1
U025,2,img_02,Opción A,4,5,4,4.333333333333333,2
U025,3,img_03,Opción A,4,4,4,4.0,3
U025,4,img_04,Opción B,4,4,4,4.0,4
U025,5,img_05,Opción B,1,2,1,1.3333333333333333,5
U025,6,img_06,Opción A,4,4,4,4.0,6
U025,7,img_07,Opción D,3,3,3,3.0,7
U025,8,img_08,Opción B,4,4,4,4.0,8
U025,9,img_09,Opción B,4,5,4,4.333333333333333,9
U025,10,img_10,Opción B,3,3,3,3.0,10
U025,11,img_11,Opción B,4,4,4,4.0,11
U026,1,img_01,Opción A,2,3,2,2.3333333333333335,1
U026,2,img_02,Opción A,2,3,2,2.3333333333333335,2
U026,3,img_03,Opción E,2,2,1,1.6666666666666667,3
U026,4,img_04,Opción E,3,3,4,3.3333333333333335,4
U026,5,img_05,Opción F (Ninguna),1,1,1,1.0,5
U026,6,img_06,Opción A,3,2,3,2.6666666666666665,6
U026,7,img_07,Opción D,2,3,4,3.0,7
U026,8,img_08,Opción C,3,3,2,2.6666666666666665,8
U026,9,img_09,Opción E,4,4,5,4.333333333333333,9
U026,10,img_10,Opción E,3,4,4,3.6666666666666665,10
U026,11,img_11,Opción B,3,2,3,2.6666666666666665,11
U027,1,img_01,Opción B,5,5,5,5.0,1
U027,2,img_02,Opción B,5,5,5,5.0,2
U027,3,img_03,Opción B,5,5,5,5.0,3
U027,4,img_04,Opción B,5,5,5,5.0,4
U027,5,img_05,Opción F (Ninguna),3,3,3,3.0,5
U027,6,img_06,Opción D,4,4,4,4.0,6
U027,7,img_07,Opción B,5,5,5,5.0,7
U027,8,img_08,Opción B,5,5,5,5.0,8
U027,9,img_09,Opción B,5,5,5,5.0,9
U027,10,img_10,Opción B,5,5,5,5.0,10
U027,11,img_11,Opción B,5,5,5,5.0,11
