line_no,timestamp,selector_id,description_case_id,image_id,image_label,domain,model_predicted_class,role,education_level,ai_knowledge_level,domain_knowledge_level,preferred_response_length,preferred_technical_level,preferred_format,preferred_explanation_types_raw,main_goals_raw,perceived_error_impact,recommended_option,recommended_method,neighbor_case_id,neighbor_similarity,solution_length,solution_technical_level,solution_structure,solution_format,k_instances,k_counterexamples,n_counterexamples_returned,convinced,rating,acceptance,satisfaction,confidence,understanding,requested_change,alternatives_exhausted,iteration,explanation_chars,explanation_words,date,convinced_bool,demo_run_id,interaction_id
13,2026-06-15 16:15:00,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,Profesional del sector tecnologico / IA / datos,Grado,4,2,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0295,0.9803791113407017,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,4.0,5.0,5.0,3.0,2.0,,False,1,1159,189,2026-06-15,True,3,3::aguila_0031229b7741a1d7
14,2026-06-16 10:09:08,vaca_00e6ccb5516d6bdf,00e6ccb5516d6bdf,12,Imagen prueba 1 de 3,Naturaleza / animales,Buey,Estudiante,Grado,4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0295,0.48222203018534016,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,4.0,5.0,5.0,4.0,4.0,,False,1,1362,214,2026-06-16,True,4,4::vaca_00e6ccb5516d6bdf
15,2026-06-16 10:09:46,wallaby_008fb78fa0fd8744,008fb78fa0fd8744,13,Imagen prueba 2 de 3,Naturaleza / animales,Wallaby,Estudiante,Grado,4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0290,0.46740030219567585,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,4.0,5.0,5.0,4.0,4.0,,False,1,1158,175,2026-06-16,True,4,4::wallaby_008fb78fa0fd8744
16,2026-06-16 10:15:30,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,Estudiante,Grado,4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0295,0.9839027148332886,media,tecnico,pasos,Texto breve + imagen,3,2,2,False,,,,,,,False,1,1269,204,2026-06-16,False,4,4::aguila_0031229b7741a1d7
17,2026-06-16 10:16:34,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,Estudiante,Grado,4,3,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Principalmente visual,"Explicaciones con ejemplos similares, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Alto: el error podría tener consecuencias importantes,Opción E,saliency,C0284,0.9839027148332886,larga,tecnico,tabla,Principalmente visual,3,2,2,True,4.0,3.0,3.0,4.0,4.0,,False,2,1518,244,2026-06-16,True,4,4::aguila_0031229b7741a1d7
18,2026-06-16 10:35:23,vaca_00e6ccb5516d6bdf,00e6ccb5516d6bdf,12,Imagen prueba 1 de 3,Naturaleza / animales,Buey,Investigador/a (academico),Master,4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.4624591514125108,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,5.0,5.0,5.0,5.0,4.0,,False,1,1317,201,2026-06-16,True,4,4::vaca_00e6ccb5516d6bdf
19,2026-06-16 10:36:43,wallaby_008fb78fa0fd8744,008fb78fa0fd8744,13,Imagen prueba 2 de 3,Naturaleza / animales,Wallaby,Investigador/a (academico),Master,4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.46078159302740207,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,5.0,5.0,5.0,5.0,4.0,,False,1,1619,251,2026-06-16,True,4,4::wallaby_008fb78fa0fd8744
20,2026-06-16 10:37:26,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,Investigador/a (academico),Master,4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.8083534722000175,media,tecnico,pasos,Texto breve + imagen,3,2,2,False,,,,,,,False,1,1381,217,2026-06-16,False,4,4::aguila_0031229b7741a1d7
21,2026-06-16 10:38:14,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,Investigador/a (academico),Master,4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Satisfacción: que la explicación resulte clara y útil para ti, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema",Alto: el error podría tener consecuencias importantes,Opción A,anchor,C0210,0.8020844989434414,media,tecnico,pasos,Texto detallado + imagen,3,2,2,False,,,,,,,False,2,1475,238,2026-06-16,False,4,4::aguila_0031229b7741a1d7
22,2026-06-16 10:39:03,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,Investigador/a (academico),Master,4,3,Corta: solo lo esencial,Simple: lenguaje claro y sin tecnicismos,Me da igual,No tengo preferencia / me da igual,"Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema",Medio: el error podría causar cierta confusión o problema,Opción E,saliency,C0133,0.7534204925921327,corta,simple,lista,Me da igual,3,0,2,True,3.0,3.0,3.0,2.0,3.0,,False,3,941,148,2026-06-16,True,4,4::aguila_0031229b7741a1d7
23,2026-06-17 18:21:55,vaca_00e6ccb5516d6bdf,00e6ccb5516d6bdf,12,Imagen prueba 1 de 3,Naturaleza / animales,Buey,"Estudiante, Investigador/a (academico)",Master,4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.4624591514125108,media,tecnico,pasos,Texto breve + imagen,3,2,2,False,,,,,,,False,1,1561,245,2026-06-17,False,5,5::vaca_00e6ccb5516d6bdf
24,2026-06-17 18:22:37,vaca_00e6ccb5516d6bdf,00e6ccb5516d6bdf,12,Imagen prueba 1 de 3,Naturaleza / animales,Buey,"Estudiante, Investigador/a (academico)",Master,4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Confianza: sentir mayor seguridad en la respuesta del sistema",Medio: el error podría causar cierta confusión o problema,Opción A,anchor,C0050,0.4933503971394823,media,tecnico,tabla,Texto breve + imagen,3,2,2,False,,,,,,,False,2,1361,221,2026-06-17,False,5,5::vaca_00e6ccb5516d6bdf
25,2026-06-17 18:23:12,vaca_00e6ccb5516d6bdf,00e6ccb5516d6bdf,12,Imagen prueba 1 de 3,Naturaleza / animales,Buey,"Estudiante, Investigador/a (academico)",Master,4,3,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Principalmente visual,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Satisfacción: que la explicación resulte clara y útil para ti",Medio: el error podría causar cierta confusión o problema,Opción E,saliency,C0040,0.44666724637804517,larga,tecnico,pasos,Principalmente visual,3,0,2,True,4.0,4.0,4.0,3.0,4.0,,False,3,1393,221,2026-06-17,True,5,5::vaca_00e6ccb5516d6bdf
26,2026-06-17 18:23:56,wallaby_008fb78fa0fd8744,008fb78fa0fd8744,13,Imagen prueba 2 de 3,Naturaleza / animales,Wallaby,"Estudiante, Investigador/a (academico)",Master,4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.46078159302740207,media,tecnico,pasos,Texto breve + imagen,3,2,2,False,,,,,,,False,1,1353,209,2026-06-17,False,5,5::wallaby_008fb78fa0fd8744
27,2026-06-17 18:25:35,wallaby_008fb78fa0fd8744,008fb78fa0fd8744,13,Imagen prueba 2 de 3,Naturaleza / animales,Wallaby,"Estudiante, Investigador/a (academico)",Master,4,3,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,"Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Medio: el error podría causar cierta confusión o problema,Opción A,anchor,C0147,0.44399238493605486,larga,tecnico,tabla,Texto detallado + imagen,3,2,2,False,,,,,,,False,2,1546,236,2026-06-17,False,5,5::wallaby_008fb78fa0fd8744
28,2026-06-17 18:26:17,wallaby_008fb78fa0fd8744,008fb78fa0fd8744,13,Imagen prueba 2 de 3,Naturaleza / animales,Wallaby,"Estudiante, Investigador/a (academico)",Master,4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Explicaciones visuales (zonas destacadas en la imagen),"Eficiencia: comprender la respuesta de forma rápida, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema",Medio: el error podría causar cierta confusión o problema,Opción E,saliency,C0241,0.4407419225373542,media,tecnico,pasos,Texto breve + imagen,3,2,2,False,,,,,,,False,3,1589,251,2026-06-17,False,5,5::wallaby_008fb78fa0fd8744
29,2026-06-17 18:29:02,wallaby_008fb78fa0fd8744,008fb78fa0fd8744,13,Imagen prueba 2 de 3,Naturaleza / animales,Wallaby,"Estudiante, Investigador/a (academico)",Master,4,3,Corta: solo lo esencial,Simple: lenguaje claro y sin tecnicismos,Texto breve + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Confianza: sentir mayor seguridad en la respuesta del sistema, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Persuasión: convencerte de que la decisión del sistema está justificada, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Medio: el error podría causar cierta confusión o problema,Opción C,integrated_gradients,C0243,0.44734622378726246,corta,simple,tabla,Texto breve + imagen,3,2,2,True,3.0,3.0,3.0,2.0,3.0,,False,4,1361,229,2026-06-17,True,5,5::wallaby_008fb78fa0fd8744
30,2026-06-17 18:30:38,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,"Estudiante, Investigador/a (academico)",Master,4,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.8083534722000175,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,4.0,4.0,4.0,4.0,4.0,,False,1,1571,244,2026-06-17,True,5,5::aguila_0031229b7741a1d7
31,2026-06-17 18:48:32,vaca_00e6ccb5516d6bdf,00e6ccb5516d6bdf,12,Imagen prueba 1 de 3,Naturaleza / animales,Buey,Prefiero no contestar,Grado,2,2,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.45495173993604177,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,4.0,4.0,4.0,4.0,4.0,,False,1,1658,260,2026-06-17,True,5,5::vaca_00e6ccb5516d6bdf
32,2026-06-17 18:50:03,wallaby_008fb78fa0fd8744,008fb78fa0fd8744,13,Imagen prueba 2 de 3,Naturaleza / animales,Wallaby,Prefiero no contestar,Grado,2,2,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.45327418155093296,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,4.0,4.0,4.0,4.0,4.0,,False,1,1584,239,2026-06-17,True,5,5::wallaby_008fb78fa0fd8744
