user_id,timestamp,age_range,education_level,occupation_raw,occupation_list,ai_knowledge_raw,ai_knowledge_level,ai_knowledge_desc,domain_knowledge_raw,domain_knowledge_level,domain_knowledge_desc,preferred_response_length,preferred_technical_level,preferred_explanation_types_raw,preferred_explanation_types_list,preferred_format,main_goals_raw,main_goals_list,perceived_error_impact,free_comment
U011,2026-04-04 19:29:27.951,18–24,Grado,Estudiante,"[""Estudiante""]","5 Experto: trabajo/investigo en IA; implemento, entreno y evalúo modelos con regularidad.",5,"Experto: trabajo/investigo en IA; implemento, entreno y evalúo modelos con regularidad.","2 Básico: reconozco animales comunes (león, elefante…), poco más.",2,"Básico: reconozco animales comunes (león, elefante…), poco más.",Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir","Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","[""Explicaciones con ejemplos similares"", ""Explicaciones con comparaciones o contraejemplos"", ""Explicaciones basadas en reglas o razonamientos paso a paso"", ""Explicaciones visuales (zonas destacadas en la imagen)""]",Texto detallado + imagen,"Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Efectividad: recibir una explicación útil para realizar mejor la tarea, Persuasión: convencerte de que la decisión del sistema está justificada, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa","[""Transparencia: entender por qué el sistema tomó esa decisión"", ""Eficiencia: comprender la respuesta de forma rápida"", ""Efectividad: recibir una explicación útil para realizar mejor la tarea"", ""Persuasión: convencerte de que la decisión del sistema está justificada"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema"", ""Escrutinio: evaluar críticamente si la decisión del sistema es adecuada"", ""razonable o justa""]",Medio: el error podría causar cierta confusión o problema,Una breve explicación de los métodos de detección de los animales usados estaría bien. Para entender un poco que es lo que están haciendo en cada paso
U012,2026-04-04 19:32:09.181,18–24,Bachillerato/FP,Estudiante,"[""Estudiante""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",4,"Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,3,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Corta: solo lo esencial,"Intermedio: algunos términos técnicos, pero fáciles de seguir","Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas, Explicaciones visuales (zonas destacadas en la imagen)","[""Explicaciones con comparaciones o contraejemplos"", ""Explicaciones centradas en atributos o características concretas"", ""Explicaciones visuales (zonas destacadas en la imagen)""]",Texto breve + imagen,"Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa","[""Transparencia: entender por qué el sistema tomó esa decisión"", ""Eficiencia: comprender la respuesta de forma rápida"", ""Satisfacción: que la explicación resulte clara y útil para ti"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema"", ""Escrutinio: evaluar críticamente si la decisión del sistema es adecuada"", ""razonable o justa""]",Alto: el error podría tener consecuencias importantes,
U013,2026-04-04 19:45:20.405,18–24,Prefiero no contestar,Prefiero no contestar,"[""Prefiero no contestar""]",1 No sé lo que es la IA o apenas he oído el término.,1,No sé lo que es la IA o apenas he oído el término.,"2 Básico: reconozco animales comunes (león, elefante…), poco más.",2,"Básico: reconozco animales comunes (león, elefante…), poco más.",Corta: solo lo esencial,Simple: lenguaje claro y sin tecnicismos,No tengo preferencia / me da igual,"[""No tengo preferencia / me da igual""]",Me da igual,"Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema","[""Educación: aprender más sobre la imagen"", ""el problema o el funcionamiento del sistema""]",Medio: el error podría causar cierta confusión o problema,
U014,2026-04-04 20:01:12.294,18–24,Grado,"Estudiante, Profesional del sector tecnológico / IA / datos","[""Estudiante"", ""Profesional del sector tecnológico / IA / datos""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",4,"Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,3,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir","Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso","[""Explicaciones con comparaciones o contraejemplos"", ""Explicaciones centradas en atributos o características concretas"", ""Explicaciones basadas en reglas o razonamientos paso a paso""]",Texto detallado + imagen,"Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa","[""Transparencia: entender por qué el sistema tomó esa decisión"", ""Confianza: sentir mayor seguridad en la respuesta del sistema"", ""Efectividad: recibir una explicación útil para realizar mejor la tarea"", ""Satisfacción: que la explicación resulte clara y útil para ti"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema"", ""Educación: aprender más sobre la imagen"", ""el problema o el funcionamiento del sistema"", ""Escrutinio: evaluar críticamente si la decisión del sistema es adecuada"", ""razonable o justa""]",Medio: el error podría causar cierta confusión o problema,
U015,2026-04-04 21:17:50.679,18–24,Grado,"Estudiante, Investigador/a (académico)","[""Estudiante"", ""Investigador/a (académico)""]","5 Experto: trabajo/investigo en IA; implemento, entreno y evalúo modelos con regularidad.",5,"Experto: trabajo/investigo en IA; implemento, entreno y evalúo modelos con regularidad.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,3,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir","Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","[""Explicaciones con comparaciones o contraejemplos"", ""Explicaciones visuales (zonas destacadas en la imagen)""]",Texto detallado + imagen,"Transparencia: entender por qué el sistema tomó esa decisión, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa","[""Transparencia: entender por qué el sistema tomó esa decisión"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema"", ""Educación: aprender más sobre la imagen"", ""el problema o el funcionamiento del sistema"", ""Escrutinio: evaluar críticamente si la decisión del sistema es adecuada"", ""razonable o justa""]",Alto: el error podría tener consecuencias importantes,Poner en qué clase clasificó cada imagen el modelo y con que accuracy
U016,2026-04-04 23:48:33.891,18–24,Bachillerato/FP,Estudiante,"[""Estudiante""]","3 Nivel usuario: la he usado alguna vez y entiendo conceptos básicos (modelo, datos, entrenamiento) sin detalle técnico.",3,"Nivel usuario: la he usado alguna vez y entiendo conceptos básicos (modelo, datos, entrenamiento) sin detalle técnico.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,3,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir","Explicaciones con ejemplos similares, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","[""Explicaciones con ejemplos similares"", ""Explicaciones basadas en reglas o razonamientos paso a paso"", ""Explicaciones visuales (zonas destacadas en la imagen)""]",Texto breve + imagen,"Confianza: sentir mayor seguridad en la respuesta del sistema, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema","[""Confianza: sentir mayor seguridad en la respuesta del sistema"", ""Efectividad: recibir una explicación útil para realizar mejor la tarea"", ""Satisfacción: que la explicación resulte clara y útil para ti"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema""]",Medio: el error podría causar cierta confusión o problema,
U017,2026-04-05 22:00:28.342,18–24,Grado,Estudiante,"[""Estudiante""]","3 Nivel usuario: la he usado alguna vez y entiendo conceptos básicos (modelo, datos, entrenamiento) sin detalle técnico.",3,"Nivel usuario: la he usado alguna vez y entiendo conceptos básicos (modelo, datos, entrenamiento) sin detalle técnico.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,3,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir","Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","[""Explicaciones con comparaciones o contraejemplos"", ""Explicaciones visuales (zonas destacadas en la imagen)""]",Principalmente visual,"Transparencia: entender por qué el sistema tomó esa decisión, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema","[""Transparencia: entender por qué el sistema tomó esa decisión"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema"", ""Educación: aprender más sobre la imagen"", ""el problema o el funcionamiento del sistema""]",Alto: el error podría tener consecuencias importantes,
U018,2026-04-05 23:14:00.813,18–24,Bachillerato/FP,Estudiante,"[""Estudiante""]","2 Conozco la idea general (p. ej., “ChatGPT”, “reconocimiento de caras”), pero no sé cómo funciona.",2,"Conozco la idea general (p. ej., “ChatGPT”, “reconocimiento de caras”), pero no sé cómo funciona.","2 Básico: reconozco animales comunes (león, elefante…), poco más.",2,"Básico: reconozco animales comunes (león, elefante…), poco más.",Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Explicaciones con comparaciones o contraejemplos,"[""Explicaciones con comparaciones o contraejemplos""]",Texto breve + imagen,"Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti","[""Efectividad: recibir una explicación útil para realizar mejor la tarea"", ""Satisfacción: que la explicación resulte clara y útil para ti""]",Medio: el error podría causar cierta confusión o problema,Más explicación sobre el funcionamiento de la IA
U019,2026-04-06 13:29:28.095,25–34,Doctorado,"Investigador/a (académico), Docente / profesor/a","[""Investigador/a (académico)"", ""Docente / profesor/a""]","5 Experto: trabajo/investigo en IA; implemento, entreno y evalúo modelos con regularidad.",5,"Experto: trabajo/investigo en IA; implemento, entreno y evalúo modelos con regularidad.","2 Básico: reconozco animales comunes (león, elefante…), poco más.",2,"Básico: reconozco animales comunes (león, elefante…), poco más.",Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir","Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas","[""Explicaciones con ejemplos similares"", ""Explicaciones con comparaciones o contraejemplos"", ""Explicaciones centradas en atributos o características concretas""]",Texto detallado + imagen,"Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti","[""Transparencia: entender por qué el sistema tomó esa decisión"", ""Confianza: sentir mayor seguridad en la respuesta del sistema"", ""Efectividad: recibir una explicación útil para realizar mejor la tarea"", ""Satisfacción: que la explicación resulte clara y útil para ti""]",Alto: el error podría tener consecuencias importantes,
U020,2026-04-06 15:21:08.161,35–44,Doctorado,"Investigador/a (académico), Docente / profesor/a","[""Investigador/a (académico)"", ""Docente / profesor/a""]","3 Nivel usuario: la he usado alguna vez y entiendo conceptos básicos (modelo, datos, entrenamiento) sin detalle técnico.",3,"Nivel usuario: la he usado alguna vez y entiendo conceptos básicos (modelo, datos, entrenamiento) sin detalle técnico.",3 Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,3,Intermedio: suelo identificar bastantes y entiendo rasgos/hábitats generales.,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir","Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","[""Explicaciones centradas en atributos o características concretas"", ""Explicaciones basadas en reglas o razonamientos paso a paso"", ""Explicaciones visuales (zonas destacadas en la imagen)""]",Texto detallado + imagen,"Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Satisfacción: que la explicación resulte clara y útil para ti, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema","[""Transparencia: entender por qué el sistema tomó esa decisión"", ""Confianza: sentir mayor seguridad en la respuesta del sistema"", ""Satisfacción: que la explicación resulte clara y útil para ti"", ""Educación: aprender más sobre la imagen"", ""el problema o el funcionamiento del sistema""]",Alto: el error podría tener consecuencias importantes,
U021,2026-04-06 18:37:28.876,18–24,Grado,Investigador/a (académico),"[""Investigador/a (académico)""]","4 Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.",4,"Nivel técnico: he estudiado IA/ML o he hecho proyectos; entiendo métricas, redes neuronales, overfitting, etc.","2 Básico: reconozco animales comunes (león, elefante…), poco más.",2,"Básico: reconozco animales comunes (león, elefante…), poco más.",Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir","Explicaciones centradas en atributos o características concretas, Explicaciones visuales (zonas destacadas en la imagen)","[""Explicaciones centradas en atributos o características concretas"", ""Explicaciones visuales (zonas destacadas en la imagen)""]",Texto breve + imagen,"Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Efectividad: recibir una explicación útil para realizar mejor la tarea, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema","[""Transparencia: entender por qué el sistema tomó esa decisión"", ""Eficiencia: comprender la respuesta de forma rápida"", ""Efectividad: recibir una explicación útil para realizar mejor la tarea"", ""Detección de errores(Debugging): detectar fallos"", ""errores o comportamientos inesperados del sistema""]",Alto: el error podría tener consecuencias importantes,"Estaría bien en algunos casos de las imágenes poder elegir más de una. En mi caso en la mayoría de ocasiones estaba entre elegir la opción B de mapa de calor y la opción E porque mostraban más claramente/acertadamente que zona era más importante o donde hay que poner el ""foco"" por decirlo de alguna manera, mientras que al solo poner una tenia que decantarme."
